item_id,order_id,product_id,quantity,unit_price,discount_pct,line_total
I000001,O00001,P023,1,14600.0,15,12410.0
I000002,O00002,P069,1,200.0,0,200.0
I000003,O00003,P016,1,490.0,0,490.0
I000004,O00003,P010,1,13590.0,20,10872.0
I000005,O00004,P031,1,230.0,10,207.0
I000006,O00004,P057,3,2740.0,5,7809.0
I000007,O00004,P014,2,960.0,10,1728.0
I000008,O00005,P010,1,13590.0,0,13590.0
I000009,O00005,P011,1,1670.0,10,1503.0
I000010,O00005,P031,1,230.0,10,207.0
I000011,O00005,P047,2,9730.0,5,18487.0
I000012,O00006,P041,1,7420.0,0,7420.0
I000013,O00006,P050,1,2590.0,15,2201.5
I000014,O00006,P055,1,1530.0,20,1224.0
I000015,O00007,P065,1,4820.0,10,4338.0
I000016,O00007,P031,3,230.0,0,690.0
I000017,O00008,P018,1,4020.0,15,3417.0
I000018,O00009,P038,3,650.0,10,1755.0
I000019,O00010,P034,1,680.0,5,646.0
I000020,O00010,P026,1,1340.0,5,1273.0
I000021,O00011,P020,3,2750.0,15,7012.5
I000022,O00011,P039,1,280.0,0,280.0
I000023,O00012,P019,1,490.0,5,465.5
I000024,O00012,P061,1,4830.0,10,4347.0
I000025,O00013,P025,1,300.0,0,300.0
I000026,O00013,P039,1,280.0,0,280.0
I000027,O00014,P001,1,21200.0,0,21200.0
I000028,O00015,P004,1,10490.0,5,9965.5
I000029,O00016,P046,1,11290.0,20,9032.0
I000030,O00016,P064,1,4670.0,15,3969.5
I000031,O00017,P055,1,1530.0,0,1530.0
I000032,O00017,P056,3,2020.0,0,6060.0
I000033,O00018,P025,2,300.0,5,570.0
I000034,O00018,P015,2,3400.0,10,6120.0
I000035,O00018,P011,1,1670.0,5,1586.5
I000036,O00018,P035,1,580.0,0,580.0
I000037,O00018,P027,1,2530.0,0,2530.0
I000038,O00019,P025,1,300.0,0,300.0
I000039,O00019,P062,1,2460.0,20,1968.0
I000040,O00020,P016,1,490.0,10,441.0
I000041,O00021,P067,2,360.0,0,720.0
I000042,O00022,P026,1,1340.0,10,1206.0
I000043,O00022,P028,1,6340.0,20,5072.0
I000044,O00023,P027,1,2530.0,5,2403.5
I000045,O00024,P001,1,21200.0,10,19080.0
I000046,O00025,P061,1,4830.0,15,4105.5
I000047,O00026,P067,1,360.0,15,306.0
I000048,O00026,P033,1,420.0,0,420.0
I000049,O00027,P037,1,240.0,0,240.0
I000050,O00028,P047,2,9730.0,5,18487.0
I000051,O00029,P022,3,9870.0,0,29610.0
I000052,O00030,P007,1,68270.0,15,58029.5
I000053,O00030,P068,1,3150.0,10,2835.0
I000054,O00031,P001,2,21200.0,20,33920.0
I000055,O00031,P041,1,7420.0,0,7420.0
I000056,O00032,P014,1,960.0,10,864.0
I000057,O00032,P006,1,59220.0,5,56259.0
I000058,O00033,P053,1,2110.0,0,2110.0
I000059,O00033,P023,1,14600.0,5,13870.0
I000060,O00034,P046,2,11290.0,0,22580.0
I000061,O00034,P068,1,3150.0,0,3150.0
I000062,O00034,P010,3,13590.0,20,32616.0
I000063,O00035,P052,1,1210.0,10,1089.0
I000064,O00035,P034,1,680.0,0,680.0
I000065,O00035,P029,2,7290.0,5,13851.0
I000066,O00036,P063,1,1260.0,0,1260.0
I000067,O00037,P006,1,59220.0,10,53298.0
I000068,O00037,P054,1,1370.0,10,1233.0
I000069,O00037,P065,1,4820.0,0,4820.0
I000070,O00038,P024,1,13040.0,10,11736.0
I000071,O00039,P042,1,10580.0,20,8464.0
I000072,O00040,P052,2,1210.0,10,2178.0
I000073,O00041,P061,1,4830.0,10,4347.0
I000074,O00042,P069,1,200.0,15,170.0
I000075,O00042,P043,3,8050.0,0,24150.0
I000076,O00042,P034,2,680.0,0,1360.0
I000077,O00043,P001,1,21200.0,0,21200.0
I000078,O00044,P014,3,960.0,0,2880.0
I000079,O00045,P010,1,13590.0,0,13590.0
I000080,O00045,P052,1,1210.0,10,1089.0
I000081,O00046,P010,1,13590.0,0,13590.0
I000082,O00047,P031,1,230.0,10,207.0
I000083,O00048,P029,1,7290.0,0,7290.0
I000084,O00048,P064,3,4670.0,5,13309.5
I000085,O00049,P037,1,240.0,5,228.0
I000086,O00049,P017,1,2040.0,0,2040.0
I000087,O00049,P013,3,4090.0,10,11043.0
I000088,O00050,P064,2,4670.0,0,9340.0
I000089,O00050,P063,1,1260.0,20,1008.0
I000090,O00050,P031,2,230.0,10,414.0
I000091,O00051,P002,2,30040.0,0,60080.0
I000092,O00052,P044,1,10800.0,0,10800.0
I000093,O00053,P005,2,68980.0,5,131062.0
I000094,O00053,P026,2,1340.0,0,2680.0
I000095,O00054,P058,1,2360.0,0,2360.0
I000096,O00055,P055,1,1530.0,0,1530.0
I000097,O00055,P059,1,3330.0,0,3330.0
I000098,O00055,P019,1,490.0,20,392.0
I000099,O00055,P043,2,8050.0,0,16100.0
I000100,O00056,P002,1,30040.0,10,27036.0
I000101,O00056,P006,1,59220.0,5,56259.0
I000102,O00057,P042,1,10580.0,0,10580.0
I000103,O00058,P045,1,4700.0,5,4465.0
I000104,O00058,P033,2,420.0,0,840.0
I000105,O00058,P015,1,3400.0,10,3060.0
I000106,O00059,P024,3,13040.0,15,33252.0
I000107,O00059,P006,1,59220.0,10,53298.0
I000108,O00060,P033,1,420.0,10,378.0
I000109,O00060,P050,2,2590.0,0,5180.0
I000110,O00061,P048,1,1950.0,5,1852.5
I000111,O00062,P032,1,220.0,0,220.0
I000112,O00063,P049,2,1370.0,5,2603.0
I000113,O00063,P011,1,1670.0,10,1503.0
I000114,O00063,P028,1,6340.0,0,6340.0
I000115,O00064,P049,1,1370.0,5,1301.5
I000116,O00064,P002,3,30040.0,15,76602.0
I000117,O00065,P006,2,59220.0,5,112518.0
I000118,O00066,P056,2,2020.0,20,3232.0
I000119,O00067,P008,1,62000.0,0,62000.0
I000120,O00067,P031,1,230.0,0,230.0
I000121,O00067,P030,1,6280.0,15,5338.0
I000122,O00067,P004,1,10490.0,20,8392.0
I000123,O00067,P023,1,14600.0,0,14600.0
I000124,O00068,P024,1,13040.0,0,13040.0
I000125,O00068,P033,1,420.0,0,420.0
I000126,O00069,P060,2,1280.0,0,2560.0
I000127,O00070,P061,1,4830.0,5,4588.5
I000128,O00071,P040,2,520.0,5,988.0
I000129,O00071,P068,1,3150.0,10,2835.0
I000130,O00072,P034,1,680.0,15,578.0
I000131,O00072,P001,1,21200.0,20,16960.0
I000132,O00072,P003,1,38100.0,10,34290.0
I000133,O00072,P065,2,4820.0,15,8194.0
I000134,O00073,P006,1,59220.0,0,59220.0
I000135,O00074,P011,1,1670.0,10,1503.0
I000136,O00075,P005,1,68980.0,5,65531.0
I000137,O00075,P007,2,68270.0,0,136540.0
I000138,O00076,P029,1,7290.0,0,7290.0
I000139,O00077,P008,1,62000.0,0,62000.0
I000140,O00077,P013,1,4090.0,5,3885.5
I000141,O00077,P057,1,2740.0,20,2192.0
I000142,O00078,P007,1,68270.0,20,54616.0
I000143,O00078,P004,1,10490.0,10,9441.0
I000144,O00078,P019,1,490.0,0,490.0
I000145,O00079,P009,1,44390.0,0,44390.0
I000146,O00079,P029,2,7290.0,15,12393.0
I000147,O00079,P021,1,8640.0,5,8208.0
I000148,O00080,P026,2,1340.0,15,2278.0
I000149,O00081,P009,1,44390.0,15,37731.5
I000150,O00081,P003,1,38100.0,0,38100.0
I000151,O00082,P035,2,580.0,0,1160.0
I000152,O00083,P029,2,7290.0,0,14580.0
I000153,O00083,P040,1,520.0,0,520.0
I000154,O00084,P049,1,1370.0,0,1370.0
I000155,O00085,P021,1,8640.0,0,8640.0
I000156,O00085,P062,1,2460.0,15,2091.0
I000157,O00086,P037,2,240.0,0,480.0
I000158,O00087,P034,1,680.0,5,646.0
